Subject,Hand,MAE,ARMS,R2,mu,LOA_low,LOA_high
1,L,6.5875859226240685,8.281974080354866,0.07638286282203754,-3.136944868231556,-18.16014625375738,11.886256517294267
1,R,6.122140976920673,7.7972505190159564,0.1813331135300872,4.091769822754084,-8.917453947031323,17.100993592539492
2,L,4.516283894218313,5.47992233844087,0.48554333708550657,-3.5027939644144435,-11.762742618101846,4.757154689272959
2,R,7.538285433877647,8.447259433795892,-0.22153885032703413,-7.191425590117926,-15.87747467187522,1.4946234916393673
3,L,6.176728409990298,7.196533258355049,0.34181505332957307,3.1153924909857422,-9.599618718025043,15.830403699996529
3,R,4.604656155191637,5.719878162581943,0.5842092456826592,0.41523160275177934,-10.766149920117027,11.596613125620586
4,L,5.000169345469111,5.799232540887584,0.041000656272693004,1.603713507663526,-9.319519839125581,12.526946854452634
4,R,4.424253162587032,5.323529139947837,0.18916263080004825,1.1258884685521897,-9.0722041156341,11.323981052738482
5,L,6.116282460831029,7.257222659583674,0.26221829556317644,3.8589461661536166,-8.187612335740594,15.905504668047827
5,R,4.3260506317972585,5.773372047940607,0.5340719225679528,-1.2538106043492951,-12.29955120151662,9.791929992818028
6,L,5.967508572721838,6.9619287389004425,0.3093786860215716,1.2909271503354038,-12.117816457814593,14.699670758485402
6,R,5.287389648359167,6.287666499816302,0.4385478545057012,0.3087501731252739,-12.000209519570843,12.617709865821391
